social_network,outbound_post,status,account,account_type,author_name,campaign_name,permalink,scheduledtime,publishedtime,tags,published_date,day_of_week,time_of_day,events_outbound_message,media_format_outbound_message,related_product_outbound_message,msft_learn_product_program_outbound_message,c_641deea526668532c520df4c,msft_learn_content_owner_outbound_message,msft_learn_primary_audience_outbound_message,primary_objective_outbound_message,media_type,permalink_1,account_1,msft_learn_approvers_outbound_message,gdc_impressions_sum,gdc_total_engagements_sum,post_likes_and_reactions_sum,post_comments_sum,post_shares_sum,estimated_clicks_sum,gdc_total_engagement_views_sum,count_of_positive_comments_sum,count_of_neutral_comments_sum,count_of_negative_comments_sum,followers_at_post_time_sum,instagram_business_post_impressions_sum,x_poll_votes_sum,stories_alcance,stories_visitas_perfil,stories_navegacao,stories_seguimentos
Instagram,"Time’s almost up! If you’ve been meaning to build and showcase your AI skills or earn a Microsoft credential, this is a great time to jump in. The Challenge ends March 2, and so does your chance to win 50% off an AI-focused Microsoft Certification.* Join at the link in bio.",SENT,microsoftlearn,INSTAGRAM,Emma Casey,MSFT Learn | OBO (Universal),https://www.instagram.com/p/DVRfE02lEF9/,2026-02-27 14:32:49,2026-02-27 14:32:49,,02-27-2026 14:32,Friday,14:00,, , ,AI Skills Challenge, ,MSFT Learn | Microsoft created,General,,Carousel,https://www.instagram.com/p/DVRfE02lEF9/,microsoftlearn,,7441,129,90,6,2,0,129,1,5,0,116308,0,,,,,
X,Take your job application from ignored to interviewed with these tips.,SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | Next Gen (Universal),https://twitter.com/MicrosoftLearn/status/2026055658194244065,2026-02-23 17:04:13,2026-02-23 17:04:46,,02-23-2026 17:04,Monday,17:00,, , ,Other, ,MSFT Learn | Microsoft created,NextGen,,Video,https://twitter.com/MicrosoftLearn/status/2026055658194244065,Microsoft Learn,,7445,169,137,5,26,0,2467,2,3,0,480107,0,,,,,
Instagram, @excel what do you say?,SENT,microsoftlearn,INSTAGRAM,Emma Casey,MSFT Learn | AON (Universal),https://www.instagram.com/p/DUtpJpIFrce/,2026-02-13 16:27:55,2026-02-13 16:28:07,,02-13-2026 16:28,Friday,16:00,, , ,Other, ,MSFT Learn | Microsoft created,General,,Photo,https://www.instagram.com/p/DUtpJpIFrce/,microsoftlearn,,7447,200,147,11,24,0,200,6,4,1,115179,0,,,,,
Instagram,"Learning starts with confidence, not fear. Our CVP of Worldwide Learning, Jeana Jorgensen, brought the energy today.🔥This session showed what accessible AI learning can look like in practice. #MSIgnite",SENT,microsoftlearn,INSTAGRAM,SprinklrSystem ,MSFT Learn | Ignite (Universal),https://www.instagram.com/reel/DRQUW2oje0w/,2025-11-19 17:36:06,2025-11-19 17:36:06,,11-19-2025 17:36,Wednesday,17:00,, , ,, ,,,,Video,https://www.instagram.com/reel/DRQUW2oje0w/,microsoftlearn,,7450,231,194,7,9,0,7681,3,4,0,88003,0,,,,,
LinkedIn,"✨ She never dressed for the job. She designed the job.

That is the energy she has brought to every part of her career.

Before she led Accessibility and Inclusive Design at Microsoft, before she supported a global community of 21 million Windows Insiders, before she empowered intrapreneurs through Power Platform, she treated her career like a creative project. Every chapter tailored. Every move intentional. Every role fitted to who she is, not who the system expected her to be.

That mindset shaped her skilling journey too. She believes learning should adapt to the person, not the other way around. Neurodiversity, pace, style, and preferences all matter. When people feel seen in how they learn, they grow faster and with more confidence.

That belief is at the heart of what we are building.
With AI Skills Navigator, learners can explore:
⭐ Personalized learning playlists
⭐ Expert led skilling sessions
⭐ AI generated podcasts for learning on the go
⭐ Multimodal content for different learning styles
⭐ New applied skills and certifications tied to real scenarios

Her story reminds us that learning is most powerful when it feels custom, supportive, and truly inclusive.

✨ Explore AI Skills Navigator: aka.ms/AISkillsNavigator_LinkedIn",SENT,Microsoft Learn,LINKEDIN_COMPANY,Emma Casey,MSFT Learn | Ignite (Universal),https://www.linkedin.com/feed/update/urn:li:share:7397688639801008129,2025-11-21 12:33:22,2025-11-21 12:33:34,,11-21-2025 12:33,Friday,12:00,, , ,AI Skills Navigator (AISN), ,MSFT Learn | Microsoft created,General,,Photo,https://www.linkedin.com/feed/update/urn:li:share:7397688639801008129,Microsoft Learn,AON Approver Group,7465,204,36,2,4,51,204,0,1,1,1006150,0,,,,,
X,"From cloud fundamentals to AI‑powered development, validate the real, role‑based skills that set you apart now and in the years ahead.
Explore more Microsoft Certifications on AI Skills Navigator: https://aiskillsnavigator.microsoft.com/credentials/?UTM_Source=Credentials_social&UTM_Medium=social&UTM_Campaign=X",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | OBO (Universal),https://twitter.com/MicrosoftLearn/status/2038722939294507075,2026-03-30 17:00:00,2026-03-30 17:00:01,,03-30-2026 17:00,Monday,17:00,, , ,Microsoft Certifications, ,MSFT Learn | Microsoft created,Developer,,Photo,https://twitter.com/MicrosoftLearn/status/2038722939294507075,Microsoft Learn,Credentials Approver Group,7466,370,161,6,20,232,370,2,3,1,483648,0,,,,,
LinkedIn,"Where are AI-related roles growing fastest, and what skills matter most?

Learn more about LinkedIn’s latest labor‑market insights and gain hands-on tips you can bring to advising, classrooms, and career services at the next session:

🗓️ Nov 18, 12–1 PM EST
🔗 Register: https://lnkd.in/ez5MxBfC",SENT,Microsoft Learn,LINKEDIN_COMPANY,SprinklrSystem ,[Auto Import] (Universal),https://www.linkedin.com/feed/update/urn:li:ugcPost:7392228794679447553,2025-11-06 10:58:05,2025-11-06 10:58:05,,11-06-2025 10:58,Thursday,10:00,, , ,, ,,,,Link,https://www.linkedin.com/feed/update/urn:li:ugcPost:7392228794679447553,Microsoft Learn,,7492,240,47,1,3,0,240,1,0,0,990699,0,,,,,
LinkedIn,"Soft skills drive success.

Communication, problem-solving, and adaptability aren’t just nice-to-have, they’re career essentials.

Practice daily to boost confidence and impact.",SENT,Microsoft Learn,LINKEDIN_COMPANY,Emily Doyen,Z_MSFT Learn | Editorial  (Universal),https://www.linkedin.com/feed/update/urn:li:share:7370893742074970112,2025-09-08 15:00:00,2025-09-08 15:00:13,,09-08-2025 15:00,Monday,15:00,, , ,, ,MSFT Learn | Agency (Dojo) created,General,,Photo,https://www.linkedin.com/feed/update/urn:li:share:7370893742074970112,Microsoft Learn,Gita Sharma Approver Group,7504,279,93,6,11,0,279,5,1,0,948640,0,,,,,
LinkedIn,"Public sector organizations are rethinking their cyber defense strategies as new threats rapidly reshape the digital landscape. 
This curated collection empowers teams to build resilience across departments, shifting from reactive responses to proactive prevention.

Act swiftly, confidently, and securely 👉: https://learn.microsoft.com/en-us/collections/e634iotg5x88k7",SENT,Microsoft Learn,LINKEDIN_COMPANY,Emma Casey,Social: Broadcast (21),https://www.linkedin.com/feed/update/urn:li:share:7387457838144516096,2025-10-24 08:00:00,2025-10-24 08:00:01,,10-24-2025 08:00,Friday,08:00,, , ,Learn for Organizations, ,MSFT Learn | Agency (Dojo) created,* (Deprecated)IT Professional,,Photo,https://www.linkedin.com/feed/update/urn:li:share:7387457838144516096,Microsoft Learn,Gita Sharma Approver Group,7506,157,85,1,11,69,157,0,1,0,979794,0,,,,,
LinkedIn,"💼 A new season brings fresh opportunities.

Which professional skill are you committing to mastering before December 31st? Share your goal below and let’s inspire each other!",SENT,Microsoft Learn,LINKEDIN_COMPANY,Helena Freitas,Z_MSFT Learn | Editorial  (Universal),https://www.linkedin.com/feed/update/urn:li:share:7379183317419675648,2025-10-01 12:00:00,2025-10-01 12:00:02,,10-01-2025 12:00,Wednesday,12:00,, , ,, ,MSFT Learn | Agency (Dojo) created,General,,Photo,https://www.linkedin.com/feed/update/urn:li:share:7379183317419675648,Microsoft Learn,Gita Sharma Approver Group,7573,328,70,23,4,0,328,3,20,0,961946,0,,,,,
LinkedIn,"Find your new rhythm of learning.

At Microsoft Ignite 2025, happening November 18–21, 2025.

Experience how AI and innovation are transforming the way we grow, connect and create.",SENT,Microsoft Learn,LINKEDIN_COMPANY,Emma Casey,MSFT Learn | Ignite (Universal),https://www.linkedin.com/feed/update/urn:li:ugcPost:7395520969156567040,2025-11-15 13:00:00,2025-11-15 13:00:01,,11-15-2025 13:00,Saturday,13:00,, , ,Other, ,MSFT Learn | Agency (Dojo) created,IT Pro,,Video,https://www.linkedin.com/feed/update/urn:li:ugcPost:7395520969156567040,Microsoft Learn,,7588,242,90,0,16,0,2121,0,0,0,999420,0,,,,,
LinkedIn,"Try today’s prompt ✨
Ask Copilot: “Create a 3-month AI learning plan with weekly goals and Microsoft Learn resources tailored to my role.”
Start small. Learn fast. Grow with AI.",SENT,Microsoft Learn,LINKEDIN_COMPANY,Emma Casey,Social: Broadcast (21),https://www.linkedin.com/feed/update/urn:li:ugcPost:7392667427207012353,2025-11-07 16:01:00,2025-11-07 16:01:04,,11-07-2025 16:01,Friday,16:00,, , ,AI Skills Challenge, ,MSFT Learn | Agency (Dojo) created,Women In Tech,,Photo,https://www.linkedin.com/feed/update/urn:li:ugcPost:7392667427207012353,Microsoft Learn,,7658,422,105,7,13,0,422,2,5,0,991650,0,,,,,
LinkedIn,"Women in tech, this one’s for you 💫
Swing by the Microsoft booth to celebrate your learning style, pick up a sticker, and explore AI prompts that help you level up your résumé or study plan. We’re here to support your journey, from curiosity to career-ready.

Plus, don’t miss our Microsoft Learn sessions:

Frontier Firms in Action: A Playbook for AI Skills Adoption
Wed, Nov 5 | 2:15-3:00 PM CST
📍 S406 Vista
🎤 Featuring Elisa Graceffo

AI Fluency for Every Function: Skills That Drive Adoption
Thurs, Nov 6 | 9:00-9:45 AM CST
📍 S503
🎤 Featuring Ashley Masters Hall",SENT,Microsoft Learn,LINKEDIN_COMPANY,SprinklrSystem ,[Auto Import] (Universal),https://www.linkedin.com/feed/update/urn:li:ugcPost:7387926118378659840,2025-10-25 15:00:54,2025-10-25 15:00:54,,10-25-2025 15:00,Saturday,15:00,, , ,, ,,,,Video,https://www.linkedin.com/feed/update/urn:li:ugcPost:7387926118378659840,Microsoft Learn,,7741,258,91,8,8,0,2373,5,3,0,980573,0,,,,,
LinkedIn,"We love seeing our customers build diverse, future-ready workforces. NAB’s story is a powerful reminder that skilling opens doors for everyone. Celebrating women in AI today and every day!",SENT,Microsoft Learn,LINKEDIN_COMPANY,Emma Casey,MSFT Learn | AON (Universal),https://www.linkedin.com/feed/update/urn:li:share:7402494199779975168,2025-12-04 18:48:57,2025-12-04 18:49:09,,12-04-2025 18:49,Thursday,18:00,, , ,Learn for Organizations, ,MSFT Learn | Microsoft created,Women In Tech,,Photo,https://www.linkedin.com/feed/update/urn:li:share:7402494199779975168,Microsoft Learn,,7768,134,70,1,5,0,134,1,0,0,1016991,0,,,,,
X,"At Microsoft Learn for Organizations, we believe that investing in your team’s growth is the ultimate way to honor their hard work—not just on Labor Day, but every day.

📚 Whether it's upskilling, reskilling, or just sparking curiosity, we’re here to help your workforce thrive. Let’s make post-Labor Day productivity smarter, not harder. https://learn.microsoft.com/training/organizations?wt.mc_id=lfo_x_organicsocial_wwl",SENT,Microsoft Learn,TWITTER,Emily Doyen,Z_MSFT Learn | Editorial  (Universal),https://twitter.com/MicrosoftLearn/status/1962953681013215438,2025-09-02 15:00:00,2025-09-02 15:00:02,,09-02-2025 15:00,Tuesday,15:00,, , ,Learn for Organizations, ,MSFT Learn | Microsoft created,General,,Photo,https://twitter.com/MicrosoftLearn/status/1962953681013215438,Microsoft Learn,Nancy Tandy Approver Group,7772,128,68,1,16,46,128,1,0,0,484336,0,,,,,
Instagram,"Are you at #MSIgnite? Bring your friends to celebrate your skills at the Skills Showcase at The Hub. 
If you’re online, comment a 🎉 below and we’ll celebrate with you!",SENT,microsoftlearn,INSTAGRAM,SprinklrSystem ,MSFT Learn | Ignite (Universal),https://www.instagram.com/reel/DRQDjjxkrh8/,2025-11-19 15:08:15,2025-11-19 15:08:15,,11-19-2025 15:08,Wednesday,15:00,, , ,, ,,,,Video,https://www.instagram.com/reel/DRQDjjxkrh8/,microsoftlearn,,7775,148,123,12,6,0,7923,3,9,0,88003,0,,,,,
LinkedIn,"The conversation is moving fast ... from AI, to agents, to the next big question: how do you manage agents at scale? 

At Microsoft, we’re approaching this with an ecosystem mindset. Governance, security, and skilling are built in from day one, so leaders and teams can adopt agentic AI with confidence. 

Hear more from CTO John Savill on agents, Work IQ, and the control plane ⤵️
https://msft.it/6045QR5ZL",SENT,Microsoft Learn,LINKEDIN_COMPANY,Emma Casey,MSFT Learn | OBO (Universal),https://www.linkedin.com/feed/update/urn:li:share:7427831984065884160,2026-02-12 16:52:16,2026-02-12 16:52:27,,02-12-2026 16:52,Thursday,16:00,, , ,Blog, ,MSFT Learn | Microsoft created,General,,Photo,https://www.linkedin.com/feed/update/urn:li:share:7427831984065884160,Microsoft Learn,Thought Leadership Approver Group,7815,171,83,1,9,49,171,0,1,0,1068881,0,,,,,
LinkedIn,"On Sept 19, 2025, at 12 PM EST, join the podcast Copilot & Coffee: Brewing AI Productivity into Your Workflow. 

Hosts Christiaan Filoon and Peter De Tender will explore how Microsoft 365 Copilot reduces stress and streamlines workflows across industries. 

Learn smarter ways to collaborate with AI agents, cut hours of admin work, and make your workdays smoother and more efficient.

Register today: https://www.netcomlearning.com/webinar/Brewing-AI-productivity-into-your-workflow?advid=472&utm_source=Microsoft-Field-Team-Promo&utm_term=MS-WWL&utm_campaign=Microsoft-Copilot-and-Coffee",SENT,Microsoft Learn,LINKEDIN_COMPANY,Emma Casey,Social: Broadcast (21),https://www.linkedin.com/feed/update/urn:li:share:7374200527078957057,2025-09-17 18:00:00,2025-09-17 18:00:12,,09-17-2025 18:00,Wednesday,18:00,, , ,Copilot, ,MSFT Learn | Microsoft created,General,,Photo,https://www.linkedin.com/feed/update/urn:li:share:7374200527078957057,Microsoft Learn,,7930,258,81,0,13,814,258,0,0,0,953390,0,,,,,
X,Us right now: 💻📚 us in an hour: 🏈💃,SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | AON (Universal),https://twitter.com/MicrosoftLearn/status/2020626194287227273,2026-02-08 17:30:00,2026-02-08 17:30:00,,02-08-2026 17:30,Sunday,17:00,, , ,Not aligned to a product, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://twitter.com/MicrosoftLearn/status/2020626194287227273,Microsoft Learn,,7941,167,147,5,15,0,167,1,2,2,479008,0,,,,,
LinkedIn,"Day one of #MSIgnite ✅
Meet the evolved AI Skills Navigator:
• Skilling playlists that adapt to your goals
• Expert-led skilling sessions
• AI-generated podcasts and summaries
• Multimodal training for every learning style
Smarter guidance. More ways to skill.",SENT,Microsoft Learn,LINKEDIN_COMPANY,SprinklrSystem ,MSFT Learn | Ignite (Universal),https://www.linkedin.com/feed/update/urn:li:ugcPost:7396733715504189440,2025-11-18 21:19:22,2025-11-18 21:19:22,,11-18-2025 21:19,Tuesday,21:00,, , ,, ,,,,Video,https://www.linkedin.com/feed/update/urn:li:ugcPost:7396733715504189440,Microsoft Learn,,7943,412,116,2,11,0,3156,2,0,0,1003926,0,,,,,
Instagram,Share this with the friend who’s earning their next credential with you.,SENT,microsoftlearn,INSTAGRAM,Emma Casey,MSFT Learn | OBO (Universal),https://www.instagram.com/p/DU_bpuNE7O1/,2026-02-20 17:00:01,2026-02-20 17:00:01,,02-20-2026 17:00,Friday,17:00,, , ,Microsoft Certifications, ,MSFT Learn | Microsoft created,Biz User,,Carousel,https://www.instagram.com/p/DU_bpuNE7O1/,microsoftlearn,Credentials Approver Group,7965,193,113,2,27,0,193,1,1,0,115542,0,,,,,
X,"Choose the emoji that feels most like you, and start the Microsoft Credentials AI Challenge that goes with it before it ends!

🧑‍💼 → Certification Challenge: Transform your organization (AB-731)
👨‍💻→ Certification Challenge: Reimagine business outcomes (AB-730)
📚🧠→ Certification Challenge: Enable and manage AI at your workplace (AB-900)
💻🏃‍♂️→ Applied Skills Challenge: Transform your organization 
🤔→ Applied Skills Challenge: Reimagine everyday business processes with agents 
🎨💻→ Applied Skills Challenge: Create custom agents

*Sweepstakes 18+, ends 3/2 https://learn.microsoft.com/en-us/credentials/microsoft-credentials-ai-challenge?wt.mc_id=credentials_AIChallenge_organicsocial_wwl_x",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | OBO (Universal),https://twitter.com/MicrosoftLearn/status/2027466946187329638,2026-02-27 14:32:42,2026-02-27 14:32:43,,02-27-2026 14:32,Friday,14:00,, , ,AI Skills Challenge, ,MSFT Learn | Microsoft created,General,,Link,https://twitter.com/MicrosoftLearn/status/2027466946187329638,Microsoft Learn,,7967,402,136,12,24,231,402,0,12,0,480670,0,,,,,
X,"What's the biggest AI win that's helped your workflow this week, and what did it help you solve?",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | AON (Universal),https://twitter.com/MicrosoftLearn/status/2033611760100368815,2026-03-16 14:30:00,2026-03-16 14:30:01,,03-16-2026 14:30,Monday,14:00,, , ,Not aligned to a product, ,MSFT Learn | Microsoft created,General,,Text,https://twitter.com/MicrosoftLearn/status/2033611760100368815,Microsoft Learn,,7976,90,72,16,1,0,90,12,2,2,482812,0,,,,,
Instagram,"The “machine” part sounds scary. The “learning” part is just that: study past data, predict the next move.",SENT,microsoftlearn,INSTAGRAM,SprinklrSystem ,MSFT Learn | AON (Universal),https://www.instagram.com/p/DV1zITBEbka/,2026-03-13 18:00:30,2026-03-13 18:00:30,,03-13-2026 18:00,Friday,18:00,, , ,Not aligned to a product, ,MSFT Learn | Microsoft created,General,,Carousel,https://www.instagram.com/p/DV1zITBEbka/,microsoftlearn,,7993,155,113,5,13,0,155,3,2,0,119304,0,,,,,
LinkedIn,"Not sure where to start your developer learning journey?
Save this for your next learning session.",SENT,Microsoft Learn,LINKEDIN_COMPANY,Emma Casey,MSFT Learn | AON (Universal),https://www.linkedin.com/feed/update/urn:li:share:7445110032217591808,2026-04-01 10:09:03,2026-04-01 10:09:15,,04-01-2026 10:09,Wednesday,10:00,, , ,Other, ,MSFT Learn | Agency (Dojo) created,Developer,,Photo,https://www.linkedin.com/feed/update/urn:li:share:7445110032217591808,Microsoft Learn,,8011,151,62,3,4,0,151,2,1,0,1116405,0,,,,,
LinkedIn,"Tax season is when your data matters most.
Here’s how you can analyze and visualize your business data more clearly. Share this with your team ahead of your next reporting cycle.

*Features may vary depending on your Microsoft 365 plan.",SENT,Microsoft Learn,LINKEDIN_COMPANY,Emma Casey,MSFT Learn | AON (Universal),https://www.linkedin.com/feed/update/urn:li:ugcPost:7442344499525111808,2026-03-24 19:00:00,2026-03-24 19:00:01,,03-24-2026 19:00,Tuesday,19:00,, , ,Copilot, ,MSFT Learn | Microsoft created,Biz User,,Video,https://www.linkedin.com/feed/update/urn:li:ugcPost:7442344499525111808,Microsoft Learn,,8012,326,91,1,9,0,2578,1,0,0,1107978,0,,,,,
Instagram,"From campus to career with AI ✨
Karen Ngo, CEO Communications Manager, broke down how AI can help you actually land the job by sharpening your career decks, tailoring your resume, and leveling up your networking with intention. Practical, real-world advice that turns skills into opportunities.",SENT,microsoftlearn,INSTAGRAM,SprinklrSystem ,MSFT Learn | Next Gen (Universal),https://www.instagram.com/reel/DSY2F6lDLwg/,2025-12-17 21:34:33,2025-12-17 21:34:33,,12-17-2025 21:34,Wednesday,21:00,, , ,Other, ,MSFT Learn | Microsoft created,NextGen,,Video,https://www.instagram.com/reel/DSY2F6lDLwg/,microsoftlearn,,8029,173,140,11,11,0,8202,3,6,2,104582,0,,,,,
X,"Which prompt would generate the most useful AI-powered study guide?

1️⃣ Explain supply and demand.

2️⃣ Create a guide for first-year econ students with real-world examples + practice questions from macroeconomics.

Comment with 1 or 2 and why!",SENT,Microsoft Learn,TWITTER,Helena Freitas,Z_MSFT Learn | Editorial  (Universal),https://twitter.com/MicrosoftLearn/status/1974550087918346336,2025-10-04 15:00:00,2025-10-04 15:00:01,,10-04-2025 15:00,Saturday,15:00,, , ,AI, ,MSFT Learn | Agency (Dojo) created,General,,Text,https://twitter.com/MicrosoftLearn/status/1974550087918346336,Microsoft Learn,Gita Sharma Approver Group,8037,25,17,6,2,0,25,2,2,2,484735,0,,,,,
X,"Turn up the volume on your glow-up 🔊
The AI Skills Navigator glow-up is live and reimagined for your goals with playlists, podcasts, and formats that fit your flow → https://t.co/XUMa1E2puW https://t.co/IAiy3kU2uy",SENT,Microsoft Learn,TWITTER,SprinklrSystem ,MSFT Learn | Ignite (Universal),https://twitter.com/MicrosoftLearn/status/1990867439085613259,2025-11-18 14:39:20,2025-11-18 14:39:20,,11-18-2025 14:39,Tuesday,14:00,, , ,, ,,,,Video,https://twitter.com/MicrosoftLearn/status/1990867439085613259,Microsoft Learn,,8084,92,36,3,10,0,1983,0,2,1,482420,0,,,,,
LinkedIn,"Harness the power of AI with your business data to drive sharper decisions at the close of the quarter. This course will teach you how to:

➡️ Summarize trends
➡️ Create visualizations
➡️ Uncover patterns faster

Achieve new insights with AI: https://learn.microsoft.com/en-us/training/modules/uncover-new-data-insights-ai/?wt.mc_id=learnmicrosoftai_contentctali_organicsocial_wwl",SENT,Microsoft Learn,LINKEDIN_COMPANY,Emily Doyen,Z_MSFT Learn | Editorial  (Universal),https://www.linkedin.com/feed/update/urn:li:share:7371618513490206721,2025-09-10 15:00:00,2025-09-10 15:00:12,,09-10-2025 15:00,Wednesday,15:00,, , ,AI, ,MSFT Learn | Agency (Dojo) created,Biz User,,Photo,https://www.linkedin.com/feed/update/urn:li:share:7371618513490206721,Microsoft Learn,Gita Sharma Approver Group,8117,283,66,0,15,171,283,0,0,0,949705,0,,,,,
X,"Move beyond basic AI adoption.
This certification helps you build the core skills to manage Copilot and AI agents across your organization.
Start learning here: https://learn.microsoft.com/en-us/credentials/certifications/copilot-and-agent-administration-fundamentals/?practice-assessment-type=certification",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | AON (Universal),https://twitter.com/MicrosoftLearn/status/2036518412193550592,2026-03-24 15:00:00,2026-03-24 15:00:01,,03-24-2026 15:00,Tuesday,15:00,, , ,Microsoft Certifications, ,MSFT Learn | Microsoft created,General,,Photo,https://twitter.com/MicrosoftLearn/status/2036518412193550592,Microsoft Learn,,8144,463,164,5,25,353,463,3,2,0,483537,0,,,,,
Instagram,"#MSIgnite, you were unforgettable 🔥
Now it’s your turn to level up: find your AI path with AI Skills Navigator.",SENT,microsoftlearn,INSTAGRAM,SprinklrSystem ,[Auto Import] (Universal),https://www.instagram.com/reel/DRVrTQIkfrp/,2025-11-21 17:24:26,2025-11-21 17:24:26,,11-21-2025 17:24,Friday,17:00,, , ,, ,,,,Video,https://www.instagram.com/reel/DRVrTQIkfrp/,microsoftlearn,,8156,222,183,18,5,0,8378,10,7,1,88872,0,,,,,
LinkedIn,"⛏️ Minecraft Education turns lessons into adventures where creativity, teamwork, and problem-solving take center stage. 

Curious how this version stacks up against the original Minecraft and how you can bring it to life in your classroom? Check out our Minecraft 101 module and start building something amazing: https://learn.microsoft.com/en-us/training/modules/craft-game-based-learning-classroom/?WT.mc_id=general_LinkedIn-wwl",SENT,Microsoft Learn,LINKEDIN_COMPANY,Emily Doyen,Z_MSFT Learn | Editorial  (Universal),https://www.linkedin.com/feed/update/urn:li:share:7369036504049881090,2025-09-03 12:00:00,2025-09-03 12:00:13,,09-03-2025 12:00,Wednesday,12:00,, , ,Microsoft Learn for Educators, ,MSFT Learn | Agency (Dojo) created,NextGen,,Photo,https://www.linkedin.com/feed/update/urn:li:share:7369036504049881090,Microsoft Learn,,8199,275,80,2,12,140,275,2,0,0,946618,0,,,,,
Instagram,"5 days to go! ⏳
Kick off your learning with Microsoft Learn certifications and get Ignite-ready.
Which one are you checking off first?",SENT,microsoftlearn,INSTAGRAM,Emma Casey,MSFT Learn | Ignite (Universal),https://www.instagram.com/p/DRAQhuVlwC1/,2025-11-13 11:52:56,2025-11-13 11:52:56,,11-13-2025 11:52,Thursday,11:00,, , ,Microsoft Certifications, ,MSFT Learn | Agency (Dojo) created,IT Pro,,Photo,https://www.instagram.com/p/DRAQhuVlwC1/,microsoftlearn,,8236,107,78,4,8,0,107,3,1,0,86321,0,,,,,
X,"Where AI agents actually help IT teams today: 
• Triaging alerts
• Summarizing incidents
• Investigating signals
• Triggering runbooks",SENT,Microsoft Learn,TWITTER,Emma Casey,MSFT Learn | AON (Universal),https://twitter.com/MicrosoftLearn/status/2033899612189106506,2026-03-17 09:33:50,2026-03-17 09:33:50,,03-17-2026 09:33,Tuesday,09:00,, , ,Other, ,MSFT Learn | Agency (Dojo) created,IT Pro,,Text,https://twitter.com/MicrosoftLearn/status/2033899612189106506,Microsoft Learn,,8258,227,185,21,20,0,227,10,8,3,483167,0,,,,,
LinkedIn,"Having powerful tools is one thing, but knowing how to use them to drive real business impact is another. That’s where Microsoft Learn comes in, offering curated learning paths that help teams upskill in real time.

Explore how Microsoft Learn is helping businesses future-proof their workforce → learn.microsoft.com",SENT,Microsoft Learn,LINKEDIN_COMPANY,Emma Casey,Social: Broadcast (21),https://www.linkedin.com/feed/update/urn:li:share:7379636300653645824,2025-10-02 18:00:00,2025-10-02 18:00:01,,10-02-2025 18:00,Thursday,18:00,, , ,Learn for Organizations, ,MSFT Learn | Agency (Dojo) created,Biz User,,Photo,https://www.linkedin.com/feed/update/urn:li:share:7379636300653645824,Microsoft Learn,,8278,291,73,5,12,125,291,3,2,0,962519,0,,,,,
LinkedIn,"AI is reshaping every role in higher education—from the classroom to campus operations.🚀 
Discover how Microsoft is partnering with colleges and universities to bring AI-powered tools, programs, resources, and industry-recognized credentials to the entire campus. 
Read the story: https://aka.ms/SkillingHigherEdBlog_LN",SENT,Microsoft Learn,LINKEDIN_COMPANY,Emma Casey,MSFT Learn | OBO (Universal),https://www.linkedin.com/feed/update/urn:li:share:7417646350730690562,2026-01-15 14:18:10,2026-01-15 14:18:23,,01-15-2026 14:18,Thursday,14:00,, , ,Blog, ,MSFT Learn | Microsoft created,NextGen,,Photo,https://www.linkedin.com/feed/update/urn:li:share:7417646350730690562,Microsoft Learn,Thought Leadership Approver Group,8278,200,67,2,10,112,200,1,1,0,1044882,0,,,,,
LinkedIn,"Have you heard about the latest GitHub Spark news?
This new module is packed with exciting updates. If you’re missing out on GitHub Universe, no worries. This is the perfect opportunity to stay in the loop and explore what’s new, no matter where you are.

👉 Start learning today: https://learn.github.com/skills#Copilot
 ",SENT,Microsoft Learn,LINKEDIN_COMPANY,Emma Casey,Social: Broadcast (21),https://www.linkedin.com/feed/update/urn:li:share:7388711097685417985,2025-10-27 19:00:00,2025-10-27 19:00:01,,10-27-2025 19:00,Monday,19:00,, , ,Microsoft Learn Community, ,MSFT Learn | Agency (Dojo) created,Developer,,Photo,https://www.linkedin.com/feed/update/urn:li:share:7388711097685417985,Microsoft Learn,,8285,152,55,0,8,135,152,0,0,0,982219,0,,,,,
LinkedIn,Save this for your FAQ build! Drop in messages → let Copilot cluster tone and intent.,SENT,Microsoft Learn,LINKEDIN_COMPANY,Emma Casey,MSFT Learn | Business Users (Universal),https://www.linkedin.com/feed/update/urn:li:ugcPost:7398850264390291456,2025-11-24 17:20:21,2025-11-24 17:29:27,,11-24-2025 17:29,Monday,17:00,, , ,Copilot, ,MSFT Learn | Microsoft created,Biz User,,Video,https://www.linkedin.com/feed/update/urn:li:ugcPost:7398850264390291456,Microsoft Learn,,8287,265,70,3,8,0,2570,1,2,0,1008800,0,,,,,
